ra,dec,Class
0.053317203,1.1201948,UnBarred
0.459649150000018,1.0320222,UnBarred
0.84013202,-9.9832601,UnBarred
1.3505,16.049999237060547,Barred
1.7948186,-0.41476018,UnBarred
1.8613,-0.7059999704360962,Barred
1.9481,-0.7440999746322632,Barred
2.1562,0.9340000152587891,Barred
2.6639604,-0.052848827,UnBarred
2.7678845,-0.99195058,UnBarred
3.1404387,-0.048439884,UnBarred
3.1479,0.23170000314712524,Barred
3.3364641,-9.9226601,UnBarred
3.3530739,14.2084,UnBarred
3.6092721,1.0641493,UnBarred
3.7312,-0.2402999997138977,Barred
3.7714,0.6430000066757202,Barred
3.8739158,0.63977825,UnBarred
3.9820472,16.249422,UnBarred
4.195882,0.70430785,UnBarred
4.2865156,-0.95803251,UnBarred
4.4188161,-8.9161467,UnBarred
4.424,0.13120000064373016,Barred
4.5766332,-11.221745,UnBarred
4.8063,-0.7667999863624573,Barred
4.8368,-10.944199562072754,Barred
5.1153,0.00430000014603138,Barred
5.1372664,-0.14639343,UnBarred
5.3468,-0.36070001125335693,Barred
5.5665,-0.7569000124931335,Barred
5.9712,-9.786700248718262,Barred
6.2310177,0.53020897,UnBarred
6.313057,-1.1117461,UnBarred
6.7324,0.30300000309944153,Barred
6.9433029,-10.262982,UnBarred
7.0855,-0.21780000627040863,Barred
7.1226881,0.78102175,UnBarred
7.2561546,0.35081891,UnBarred
7.3983152,-0.23519788,UnBarred
7.5586847,-9.7580176,UnBarred
8.4578,-0.43970000743865967,Barred
8.5957,0.2759000062942505,Barred
8.9994772,-10.93333,UnBarred
9.3009,-1.1433000564575195,Barred
9.5883983,0.10558546,UnBarred
9.6426704,-9.1128536,UnBarred
9.7612179,14.088883,UnBarred
9.999484,1.0652192,UnBarred
10.193639,-8.8347211,UnBarred
10.295271,0.65503849,UnBarred
10.40036,-10.741242,UnBarred
10.441041,-9.1624297,UnBarred
10.459036,-9.4298563,UnBarred
10.520954,-9.5344476,UnBarred
10.6244,15.396699905395508,Barred
10.644894,-9.6550471,UnBarred
10.674844,-9.2919994,UnBarred
10.727859,-9.2304352,UnBarred
10.792154,-9.8614782,UnBarred
10.7984,-9.637800216674805,Barred
10.858,0.19830000400543213,Barred
11.197911,-0.42741103,UnBarred
11.631482,14.984973,UnBarred
11.707546,0.69631606,UnBarred
11.7304,-0.3714999854564667,Barred
12.012927,16.016093,UnBarred
12.102009,-11.142416,UnBarred
12.1566,1.2476999759674072,Barred
12.19588,15.708943,UnBarred
12.510329,-0.13241667,UnBarred
12.678048,0.43287498,UnBarred
12.6828,1.0273000001907349,Barred
12.988661,14.56346,UnBarred
13.1456,0.6105999946594238,Barred
13.197552,-10.200098,UnBarred
13.240837,0.36876689,UnBarred
13.372494,-0.677301,UnBarred
13.5664,-1.239300012588501,Barred
13.885218,-9.9406604,UnBarred
13.927915,-10.29249,UnBarred
14.048136,0.68200126,UnBarred
14.0533,-0.8338000178337097,Barred
14.0866,0.9061999917030334,Barred
14.087481,-1.1766349,UnBarred
14.093856,-9.3399903,UnBarred
14.095886,13.876337,UnBarred
14.210883,0.34647207,UnBarred
14.237088,-1.2118296,UnBarred
14.251387,-0.82524192,UnBarred
14.2904,-9.96660041809082,Barred
14.307325,-1.0122391,UnBarred
14.399757,14.601506,UnBarred
14.4654,-1.1360000371932983,Barred
14.69487,-0.75187253,UnBarred
14.8331,0.0026000000070780516,Barred
14.905523,-10.332466,UnBarred
14.916602,-10.882078,UnBarred
14.925516,0.9166085,UnBarred
15.205376,-10.29839,UnBarred
15.320075,-1.097748,UnBarred
15.4169,-9.097299575805664,Barred
15.994768,15.247283,UnBarred
16.007256,-0.81306485,UnBarred
16.0633,-1.114300012588501,Barred
16.105312,-0.18738277,UnBarred
16.125522,14.50392,UnBarred
16.343308,-8.9453026,UnBarred
16.425325,14.734467,UnBarred
16.528863,0.34034249,UnBarred
16.548051,-0.89987184,UnBarred
16.76984,13.590005,UnBarred
16.973609,0.32634227,UnBarred
17.37,14.363100051879883,Barred
17.510503,13.647455,UnBarred
17.5162,0.47119998931884766,Barred
17.586674,-9.5695261,UnBarred
17.73922,0.63423721,UnBarred
17.747137,0.43365139,UnBarred
17.853344,15.573126,UnBarred
17.942417,14.977856,UnBarred
18.0139,-0.06769999861717224,Barred
18.019257,-0.24510773,UnBarred
18.1755,1.1441999673843384,Barred
18.2077,15.505399703979492,Barred
18.2618,15.527428,UnBarred
18.3137,0.4372999966144562,Barred
18.589789,0.17974197,UnBarred
18.6284,0.3244999945163727,Barred
18.6929,-0.0010999999940395355,Barred
18.725915,0.50740199,UnBarred
18.7573,15.41349983215332,Barred
18.772889,0.32220657,UnBarred
18.778313,-9.1602952,UnBarred
19.0138,-0.11460000276565552,Barred
19.098403,0.44577322,UnBarred
19.20026,0.54091299,UnBarred
19.223274,0.15312722,UnBarred
19.287291,1.1046521,UnBarred
19.590353,15.409453,UnBarred
19.597667,13.62457,UnBarred
19.602411,-8.8781591,UnBarred
19.674616,-8.7993065,UnBarred
19.686917,-0.90633439,UnBarred
19.9667,-0.041099999099969864,Barred
20.008379,14.861051,UnBarred
20.377769,14.504984,UnBarred
20.647526,-0.5700784,UnBarred
20.774659,-10.443209,UnBarred
20.82085,-0.90602499,UnBarred
20.8483,15.214699745178223,Barred
20.8549,0.755299985408783,Barred
20.871982,-0.53256126,UnBarred
20.917192,0.68236265,UnBarred
21.222093,-8.8194361,UnBarred
21.607945,-8.5642006,UnBarred
22.008905,-0.73833508,UnBarred
22.525736,13.283908,UnBarred
22.950424,0.66274472,UnBarred
22.9877,0.5428000092506409,Barred
23.019152,15.500368,UnBarred
23.472021,13.403394,UnBarred
23.689071,-0.99488713,UnBarred
23.760782,15.487749,UnBarred
23.932462,-9.9885592,UnBarred
24.115121,-9.478611,UnBarred
24.347214,-9.099645,UnBarred
24.3559,-8.931500434875488,Barred
24.499547,-9.0071657,UnBarred
24.5818,15.400771,UnBarred
25.177834,13.551304,UnBarred
25.6887,0.4050999879837036,Barred
25.697555,13.180573,UnBarred
25.843565,-0.94724921,UnBarred
25.882269,13.513772,UnBarred
26.142077,0.73851472,UnBarred
26.158627,-9.8619007,UnBarred
26.437874,12.938546,UnBarred
26.5075,14.2391996383667,Barred
26.624158,13.952667,UnBarred
26.670917,-9.6613406,UnBarred
26.815619,0.96335693,UnBarred
27.3475,-8.44159984588623,Barred
27.4244,1.2003999948501587,Barred
27.737898,0.23452431,UnBarred
27.7947,-1.027999997138977,Barred
27.887025,-8.7842368,UnBarred
27.989662,-8.5176213,UnBarred
28.0531,-0.2492000013589859,Barred
28.185038,13.192586,UnBarred
28.2018,-8.722399711608887,Barred
28.601663,13.541124,UnBarred
28.7021,-9.66919994354248,Barred
28.72132,-0.59707487,UnBarred
28.827711,0.48672008,UnBarred
28.873285,-9.9946685,UnBarred
29.070654,1.0508094,UnBarred
29.1582,-8.720199584960938,Barred
29.22848,-0.64028308,UnBarred
29.252399,-0.08984285,UnBarred
29.2562,-0.27900001406669617,Barred
29.304042,14.735458,UnBarred
29.9405,-0.5583000183105469,Barred
30.03978,14.73143,UnBarred
30.065304,0.19923457,UnBarred
30.3805,-0.7145000100135803,Barred
30.430807,-1.0697996,UnBarred
30.435064,-0.93442878,UnBarred
30.4481,-1.1128000020980835,Barred
30.556028,-0.85127018,UnBarred
30.751604,-0.25155032,UnBarred
30.860794,12.589198,UnBarred
31.1579,0.701200008392334,Barred
31.232372,14.01541,UnBarred
31.323093,13.505728,UnBarred
31.332839,13.258528,UnBarred
31.3433,-0.7452999949455261,Barred
32.1245,12.73330020904541,Barred
32.1424,0.11580000072717667,Barred
32.185396,0.7862675,UnBarred
32.889832,13.917156,UnBarred
33.4063,13.728099822998047,Barred
33.406918,13.461549,UnBarred
33.550516,13.436898,UnBarred
33.993658,-0.71357317,UnBarred
34.399191,-0.49361116,UnBarred
34.4686,-9.798399925231934,Barred
36.272778,-0.60406761,UnBarred
36.425665,-8.6724907,UnBarred
36.739711,-9.2662769,UnBarred
37.086905,0.68723278,UnBarred
37.7793,-1.1052000522613525,Barred
37.92995,0.90440959,UnBarred
39.679117,-7.2879297,UnBarred
39.690192,-9.0535664,UnBarred
40.041303,-0.94687189,UnBarred
40.8711,-1.0026999711990356,Barred
40.924731,-8.1011785,UnBarred
40.941407,-8.1825199,UnBarred
41.083644,-7.7541488,UnBarred
41.280597,0.95012641,UnBarred
41.305285,-8.3483837,UnBarred
41.307401,-0.74612124,UnBarred
41.493201,-0.44919022,UnBarred
41.5415,-8.236499786376953,Barred
41.61369,-0.65852045,UnBarred
41.699165,-0.57078946,UnBarred
41.725843,-0.56519532,UnBarred
41.82069,-0.39031434,UnBarred
41.84637,0.058785967,UnBarred
41.868601,-0.26819515,UnBarred
42.198415,-0.10918449,UnBarred
42.370829,-0.56735661,UnBarred
42.391299,-0.58854338,UnBarred
42.419575,-0.5659326,UnBarred
42.473356,-1.0036392,UnBarred
42.73144,0.36688431,UnBarred
43.030008,-8.0927472,UnBarred
43.192125,-8.6043753,UnBarred
43.521996,-7.3450588,UnBarred
43.763307,-1.1894281,UnBarred
43.777492,-0.16246195,UnBarred
44.846718,-1.1666803,UnBarred
45.704385,-1.2433924,UnBarred
46.285741,0.3434334,UnBarred
46.326559,0.21552064,UnBarred
46.331349,-0.3448316,UnBarred
46.45029,-6.2764511,UnBarred
46.5212,-0.5339999794960022,Barred
46.636486,-0.56077082,UnBarred
46.671382,-0.55506741,UnBarred
46.967785,0.4763204,UnBarred
47.029409,0.4562189,UnBarred
47.11017,0.55509596,UnBarred
47.320741,-0.90666209,UnBarred
47.4993,0.2994999885559082,Barred
47.889075,-0.7428796,UnBarred
47.957856,0.15844277,UnBarred
48.0655,0.24050000309944153,Barred
48.435703,-0.38566984,UnBarred
49.584175,-0.82468708,UnBarred
49.782159,0.95598049,UnBarred
49.929349,0.56547293,UnBarred
51.169883,-0.68149787,UnBarred
51.480434,-0.66548674,UnBarred
51.644183,-0.64779087,UnBarred
51.680002,-0.76944943,UnBarred
52.023004,0.021965111,UnBarred
52.138307,1.0067308,UnBarred
52.260727,-0.92747229,UnBarred
52.621381,0.75204581,UnBarred
52.6395,-6.7210001945495605,Barred
52.6929,0.5008999705314636,Barred
53.177745,1.020308,UnBarred
53.476785,-6.5816155,UnBarred
53.5742,1.0842000246047974,Barred
53.578603,1.0168092,UnBarred
54.006625,1.1047554,UnBarred
54.47185,-6.1509488,UnBarred
54.9911,-6.20419979095459,Barred
55.185,1.0565999746322632,Barred
55.8082,-1.0187128,UnBarred
55.96861,0.61436718,UnBarred
56.0775,-0.3928999900817871,Barred
56.139827,-0.59626349,UnBarred
56.8474,0.8755000233650208,Barred
57.891416,-0.46770132,UnBarred
58.081877,0.37576147,UnBarred
59.318054,-5.3715128,UnBarred
59.403057,-5.3217353,UnBarred
59.5094,-6.683000087738037,Barred
61.6808,-5.114709,UnBarred
111.0865,42.15019989013672,Barred
111.6106,38.07310104370117,Barred
111.6916,40.48680114746094,Barred
111.74755,38.012519,UnBarred
112.7796,41.427799224853516,Barred
112.9067,43.49800109863281,Barred
112.97912,37.869968,UnBarred
113.057,39.56010055541992,Barred
113.07022,31.880045,UnBarred
113.4173,41.685298919677734,Barred
113.59257,26.862482,UnBarred
113.6784,30.01889991760254,Barred
113.9019,39.764873,UnBarred
114.19007,33.122724,UnBarred
114.2943,26.50659942626953,Barred
114.3548,29.668100357055664,Barred
